url,title,imdb_score,description,director,stars,year,runtime,genre,rating,metascore,gross
https://www.imdb.com/title/tt15215918/,"Before, Now & Then",6.6,"Nana, a gentle, beautiful young woman, escapes a violent anti-communist purge. Afterwards she lives comfortably as the second wife of a rich Sundanese man but her past re-emerges in her dreams.",Kamila Andini,"Happy Salma, Laura Basuki, Arswendy Bening Swara, Ibnu Jamil",II) (2022,103,"Drama, History",16+,75,
https://www.imdb.com/title/tt26687781/,Fireworks,7.1,4 people intend to commit suicide together by blowing themselves up using a large ball of fireworks.,Herwin Novianto,"Marsha Timothy, Ringgo Agus Rahman, Donny Damara, Hanggini",2023,104,"Drama, Thriller",17+,,
https://www.imdb.com/title/tt10211984/,Sleeping Beauties,4.3,"Cahya gets a job as a maid working in an isolated old mansion. Pregnant and a recent widow, she is desperate to reconnect with her husband, opening a doorway to the spirit world. And in ...",Stuart Simpson,"Intan Kieflie, Jeffery Richards, Mandie Combe, Mark Adams",I) (2023,90,Horror,,,
https://www.imdb.com/title/tt1288645/,The Forbidden Door,6.6,The life of a successful sculptor is turned upside down when he begins receiving mysterious messages from someone who asks for his help.,Joko Anwar,"Fachry Albar, Marsha Timothy, Ario Bayu, Tio Pakusadewo",2009,115,"Horror, Mystery, Thriller",18+,,
https://www.imdb.com/title/tt21619276/,Hati Suhita,8.7,Alina Suhita's unwavering determination is tested as she navigates the storms of her tumultuous marriage in pursuit of love.,Archie Hekagery,"Omar Daniel, Nadya Arina, Anggika Bolsterli, Ibrahim Risyad",2023,137,Drama,13+,,
https://www.imdb.com/title/tt10776270/,May the Devil Take You Too,6.0,"Two years after escaping from demonic terror, the young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening: the figure of darkness rises to take their lives.",Timo Tjahjanto,"Chelsea Islan, Widika Darsih Sidmore, Baskara Mahendra, Hadijah Shahab",2020,110,"Fantasy, Horror, Mystery",Not Rated,,
https://www.imdb.com/title/tt21372280/,Autobiography,7.4,"A young man working as a housekeeper in an empty mansion. When its owner returns to start his mayoral election campaign, the young man bonds with him and defends him when his campaign is vandalized, setting off a chain of violence.",Makbul Mubarak,"Kevin Ardilova, Arswendy Bening Swara, Haru Sandra, Rukman Rosadi",2022,115,"Drama, Mystery, Thriller",17+,,
https://www.imdb.com/title/tt2171847/,Dead Mine,4.5,"The legend of Yamashita's Gold lures a treasure hunter and his group deep into the Indonesian jungle. Once they are trapped in an abandoned World War II Japanese bunker, they face the terrifying reality that the only way out is to go further in.",Steven Sheil,"Miki Mizuno, Sam Hazeldine, Ario Bayu, Les Loveday",2012,87,"Action, Horror",Not Rated,,
https://www.imdb.com/title/tt21146854/,Catatan Si Boy,,,,,2023,126,"Drama, Romance",13+,,
https://www.imdb.com/title/tt2409300/,Killers,6.4,A psychopathic Japanese executive accidentally triggers a journalist's 'dark side'. They begin to connect over the Internet and make a complicated bond.,Kimo Stamboel,"Timo Tjahjanto, Kazuki Kitamura, Oka Antara, Rin Takanashi, Luna Maya",2014,137,"Action, Crime, Drama",Not Rated,51,
https://www.imdb.com/title/tt28080971/,Primbon,6.6,"Amidst a mountain climbing trip, Rana goes missing, but miraculously returns home, causing a conflict between her mother's belief in her survival and the superstitious extended family.",Rudy Soedjarwo,"Happy Salma, Nugie, Flavio Zaviera, Chicco Kurniawan",2023,88,"Drama, Horror",13+,,
https://www.imdb.com/title/tt19367194/,Qorin,5.0,Life at a boarding school descends into chaos when a teacher instructs his students to perform a forbidden ritual that summons their doppelgängers.,Ginanti Rona,"Zulfa Maharani, Omar Daniel, Aghniny Haque, Dea Annisa",2022,109,"Horror, Mystery, Thriller",17+,,
https://www.imdb.com/title/tt10773114/,One Day We'll Talk About Today,7.3,"Three siblings live in happy-looking families, but one of them changes and gets warned by his parents, prompting the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families.",Angga Dwimas Sasongko,"Rio Dewanto, Sheila Dara Aisha, Rachel Amanda, Sinyo Riza",2020,121,Drama,TV-14,,
https://www.imdb.com/title/tt13729220/,Photocopier,6.8,"After losing her scholarship when photos of her at a party surface online, a student pairs with a photocopy worker to piece together what happened.",Wregas Bhanuteja,"Shenina Cinnamon, Dea Panendra, Giulio Parengkuan, Jerome Kurnia",2021,130,"Crime, Drama, Mystery",TV-MA,,
https://www.imdb.com/title/tt8948208/,Foxtrot Six,5.4,"When a rogue regime threatens Indonesia's food supply in a bid for power, a former marine assembles a team of ex-comrades to end the hostile takeover.",Randy Korompis,"Oka Antara, Verdi Solaiman, Chicco Jerikho, Rio Dewanto",2019,114,"Action, Drama, Sci-Fi",TV-MA,,
https://www.imdb.com/title/tt27519902/,Sosok Ketiga,7.5,"Anton's marriage to Yuni, his wife's friend, triggers a series of supernatural terrors and conflicts, leaving Nuri disappointed and Yuni's mother fearing for the safety of her child and future grandchildren.",Dedy Mercy,"Celine Evangelista, Erika Carlina, Samuel Rizal, Dewi Irawan",2023,99,"Drama, Horror",17+,,
https://www.imdb.com/title/tt1047660/,Pocong 2,6.5,Two sisters find themselves haunted by an evil spirit.,Rudy Soedjarwo,"Revalina S. Temat, Ringgo Agus Rahman, Henidar Amroe, Agung Basuki",2006,98,"Horror, Mystery, Thriller",D,,
https://www.imdb.com/title/tt8597408/,Permainan Binal,7.8,"A bankrupt schemer tries to get his hands on a wealthy widow's money but the daughter intervenes. Meanwhile, a mysterious killer is running amok.",Yonky Souhoka,"Ibra Azhari, Windy Chindyana, Sonny Dewantara, Elizabeth Ivone",1995,100,"Drama, Horror",,,
https://www.imdb.com/title/tt18748928/,Gara-Gara Warisan,7.3,A dying widower gathers his kids to decide who will receive his inheritance. Past secrets are revealed until one is chosen to inherit everything.,Muhadkly Acho,"Oka Antara, Indah Permatasari, Ge Pamungkas, Yayu A.W. Unru",2022,117,"Comedy, Drama",TV-G,,
https://www.imdb.com/title/tt16298806/,Pamali,5.2,"Due to the economic crisis he experienced, Jaka Sunarya was forced to sell the family haired house he had left 20 years ago. The house is not well maintained and is located deep in the interior of the village.",Bobby Prasetyo,"Marthino Lio, Putri Ayudya, Jordan Omar, Taskya Namya",2022,99,"Horror, Mystery",TV-MA,,
